mID,mName,mSubType,mRarity,mResourceID
1,체력 회복 포션[소],27,0,1
2,체력 회복 포션[중],27,0,2
3,체력 회복 포션[대],27,0,3
50,영웅의 등심 숯불구이,28,0,50
51,사냥꾼의 닭고기 스튜,28,0,51
52,현자의 생선 수프,28,0,52
53,모험가를 위한 특선 요리,28,0,53
54,특별한 모둠 꼬치구이,28,0,910182
60,아드레날린 증폭 포션,28,0,60
61,상급 아드레날린 증폭 포션,28,1,61
62,최상급 아드레날린 증폭 포션,28,2,62
80,현자의 물약,28,0,80
81,마나 회복제,28,0,600023
90,해독 포션,28,0,90
100,신속 포션,28,0,100
101,대형 신속 포션,28,0,101
105,투지 포션,28,0,105
110,초신속 포션,28,0,110
120,경험치 증폭제[10%],28,0,120
121,경험치 증폭제[20%],28,0,121
122,어쌔신 전용 경험치 증폭제[100%],28,0,122
123,경험치 증폭제[30%],28,0,123
124,경험치 증폭제[50%],28,0,124
125,경험치 증폭제[100%],28,0,125
130,검술의 비약,28,0,130
131,궁술의 비약,28,0,131
132,마법의 비약,28,0,132
140,암살단의 독병,79,0,140
141,암살단의 맹독병,79,0,141
142,암살단의 강렬한 독병,79,0,142
150,콜포트의 축복,28,2,150
151,데모자르의 축복,28,2,151
160,무기 각인 증폭제,28,2,160
170,이계의 마력,28,0,170
171,상급 이계의 마력,28,0,171
172,최상급 이계의 마력,28,0,172
200,마을 귀환 주문서,35,0,200
201,아지트 귀환 주문서,36,0,201
202,순간 이동 주문서,40,0,202
203,빛나는 순간 이동 주문서,39,0,203
250,스크롤 : 마나 리제네레이션,28,0,250
251,스크롤 : 스톤 스킨,28,0,251
252,스크롤 : 웨이트 익스텐션,28,0,252
260,회복의 마법 주문서,28,0,260
261,상급 회복의 마법 주문서,28,0,261
262,최상급 회복의 마법 주문서,28,0,262
270,전투의 마법 주문서,28,0,270
271,상급 전투의 마법 주문서,28,0,271
272,최상급 전투의 마법 주문서,28,0,272
280,계승자의 의지 물약,28,2,280
300,무기 강화 주문서,30,0,300
301,방어구 강화 주문서,30,0,301
302,장신구 강화 주문서,30,0,302
303,슬롯 강화 주문서,93,0,303
304,매터리얼 슬롯 강화 주문서,97,0,304
