mID,mName
1,체력 회복 포션[소]
2,체력 회복 포션[중]
3,체력 회복 포션[대]
50,영웅의 등심 숯불구이
51,사냥꾼의 닭고기 스튜
52,현자의 생선 수프
53,모험가를 위한 특선 요리
54,특별한 모둠 꼬치구이
60,아드레날린 증폭 포션
61,상급 아드레날린 증폭 포션
62,최상급 아드레날린 증폭 포션
80,현자의 물약
81,마나 회복제
90,해독 포션
100,신속 포션
101,대형 신속 포션
105,투지 포션
110,초신속 포션
120,경험치 증폭제[10%]
121,경험치 증폭제[20%]
122,어쌔신 전용 경험치 증폭제[100%]
123,경험치 증폭제[30%]
124,경험치 증폭제[50%]
125,경험치 증폭제[100%]
130,검술의 비약
131,궁술의 비약
132,마법의 비약
140,암살단의 독병
141,암살단의 맹독병
142,암살단의 강렬한 독병
150,콜포트의 축복
200,마을 귀환 주문서
201,아지트 귀환 주문서
202,순간 이동 주문서
203,빛나는 순간 이동 주문서
250,스크롤 : 마나 리제네레이션
251,스크롤 : 스톤 스킨
252,스크롤 : 웨이트 익스텐션
260,회복의 마법 주문서
261,상급 회복의 마법 주문서
270,전투의 마법 주문서
271,상급 전투의 마법 주문서
300,무기 강화 주문서
301,방어구 강화 주문서
302,장신구 강화 주문서
303,슬롯 강화 주문서
310,축복받은 무기 강화 주문서
311,축복받은 방어구 강화 주문서
312,축복받은 장신구 강화 주문서
320,저주받은 무기 강화 주문서
321,저주받은 방어구 강화 주문서
322,저주받은 장신구 강화 주문서
330,고대의 무기 강화 주문서
331,고대의 방어구 강화 주문서
332,고대의 장신구 강화 주문서
333,고대의 슬롯 강화 주문서
340,수호의 팔찌 강화 주문서
341,파괴의 가면 강화 주문서
342,생명의 금관 강화 주문서
343,숙련의 나팔 강화 주문서
344,영혼의 부적 강화 주문서
345,극복의 성배 강화 주문서
350,마나에 물든 파피루스
351,마나에 물든 상급 파피루스
352,마나에 물든 최상급 파피루스
400,변신의 돌
401,서번트 소환의 돌
410,마법의 크리스탈
411,반짝이는 가루
450,시간의 모래 : 필드 던전
451,시간의 모래 : 발레포르 던전
452,시간의 모래 : 원시해적의 동굴
453,시간의 모래 : 메테오스의 탑
454,시간의 모래[하급] : 메테오스의 탑
455,시간의 모래 : 엘테르 던전
456,시간의 모래 : 만월의 유적지
